Temperature,Humidity,Light,Soil_Moisture,CO2,Growth
20.65,62.11,8505.68,48.88,991.47,91.17
21.39,66.49,5246.33,45.71,988.21,78.27
21.12,61.93,5849.66,43.75,963.53,74.66
20.59,66.15,5436.25,41.13,844.7,68.43
21.96,66.88,5020.15,49.66,904.18,80.51
20.68,70.01,6565.98,45.34,843.64,81.03
21.86,60.5,6997.28,42.91,857.74,78.54
18.2,60.95,6228.78,43.39,930.1,66.29
18.52,60.7,5288.46,42.85,812.79,59.79
19.9,63.99,7575.21,46.35,995.31,83.81
19.42,68.36,6402.78,49.19,982.73,82.27
21.17,68.16,8857.16,48.4,873.79,95.97
18.56,67.33,5020.96,44.63,900.92,67.48
21.85,69.16,9028.57,48.39,891.59,99.63
19.14,63.16,9677.44,44.22,982.81,89.55
19.68,61.1,8517.45,42.37,943.07,80.71
19.19,60.78,8747.27,49.82,857.83,84.71
20.33,68.51,9717.41,43.12,886.52,91.45
18.16,67.22,6005.43,43.18,888.44,68.83
18.66,66.95,10025.4,49.98,991.16,95.15
21.06,63.77,8931.39,41.51,828.69,84.73
18.75,64.06,8621.27,47.64,818.77,81.71
19.06,69.6,6705.67,49.35,973.63,83.23
21.22,60.55,7713.9,45.24,976.95,84.35
18.41,67.75,8262.53,39.9,973.61,78.75
19.7,63.13,8012.88,43.61,900.72,80.31
18.13,60.22,8551.38,41.08,931.85,74.67
19.4,67.44,5432.08,44.09,912.43,70.41
20.83,63.49,6810.32,47.79,808.34,79.18
18.32,66.97,7190.1,44.65,923.67,76.13
21.56,67.19,6355.75,44.63,799.81,78.61
21.59,65.54,5850.21,45.52,862.18,78.54
18.29,67.7,5709.18,45.83,985.49,72.34
22.02,66.05,6803.25,48.54,860.49,86.22
19.1,62.77,7425.08,43.24,992.28,77.17
18.34,67.4,5411.34,48.4,850.82,69.85
18.04,65.85,9584.98,45.41,864.59,85.61
19.65,60.08,8889.41,43.07,926.49,81.51
20.5,68.93,8609.53,42.76,953.01,90.01
19.35,65.55,5810.24,43.86,901.19,70.2
21.38,68.81,8037.86,46.29,970.7,92.37
20.91,68.82,7541.25,42.19,807.31,82.37
19.5,64.26,9853.53,49.17,987.88,95.12
