Temperature,Humidity,Light,Soil_Moisture,CO2,Growth
16.89,58.94,1129.9,25.53,719.46,78.91
16.44,63.57,1032.33,21.94,796.9,74.5
14.33,56.75,1935.55,23.24,755.17,82.23
14.4,60.43,1523.42,29.34,783.35,84.46
15.78,64.46,1543.35,21.43,735.41,80.15
15.02,61.05,1780.89,26.57,732.6,86.68
14.1,63.09,1316.49,26.07,797.74,77.04
15.59,61.52,1472.36,21.11,751.54,76.98
15.15,63.57,1983.33,23.32,715.06,87.39
14.39,64.76,1665.71,25.65,723.31,83.55
16.37,57.92,1133.87,21.94,748.06,71.86
16.73,56.58,1121.71,27.85,704.13,79.08
16.25,59.74,1199.06,29.78,746.9,83.97
16.46,62.0,1781.56,22.11,742.69,86.57
14.64,57.53,1294.75,21.91,779.58,69.86
14.8,55.02,1018.61,24.44,733.69,65.15
14.55,58.24,1925.52,27.39,798.28,90.14
16.34,64.62,1181.45,22.99,716.58,76.71
16.87,62.06,999.82,20.04,759.03,71.38
16.1,59.11,1235.64,25.27,708.65,76.65
16.55,56.9,1257.14,29.56,773.32,84.78
15.87,58.66,1429.61,23.8,798.35,80.21
15.15,56.37,1896.07,24.07,779.83,85.51
15.39,56.08,1852.75,29.7,752.64,91.68
14.25,64.19,1455.93,26.72,748.29,80.92
14.02,64.86,1392.78,27.04,782.9,80.62
16.06,56.52,1564.7,25.93,792.65,83.62
15.31,55.28,1244.09,29.81,800.77,80.58
15.67,58.53,1054.66,26.78,738.45,74.27
15.62,59.51,1928.67,29.01,801.08,95.87
14.83,57.08,1212.71,27.08,717.87,72.41
15.4,58.1,1240.86,27.5,722.62,76.06
15.36,57.23,1468.3,22.89,709.03,74.61
15.18,62.72,1496.89,23.18,726.61,77.98
16.5,62.05,1019.89,27.53,772.71,79.89
15.39,61.37,1144.08,22.81,783.27,73.29
15.84,59.06,1365.73,25.65,778.97,80.96
16.66,64.07,1667.52,22.54,765.94,87.62
16.63,64.56,1211.45,28.03,752.66,86.48
16.68,56.51,1429.07,21.14,771.32,76.77
14.82,57.05,1549.58,28.2,739.05,82.04
14.08,60.38,1850.08,25.99,786.49,85.94
14.76,55.87,1332.72,22.02,770.73,69.11
14.84,59.28,1132.99,25.56,768.96,73.2
16.83,60.71,1509.39,22.68,750.79,82.62
15.96,60.23,1752.3,23.08,785.58,85.78
14.22,58.27,1087.77,23.45,727.05,65.51
14.37,60.38,1391.38,20.63,738.05,70.69
14.45,64.78,1007.04,29.76,778.02,77.24
15.99,57.28,1024.22,20.47,746.77,65.36
16.19,61.32,1497.04,26.68,787.87,87.63
16.62,55.48,1298.06,23.77,734.23,76.21
16.81,55.55,1862.04,26.27,737.22,91.24
14.62,60.48,1582.36,23.74,788.32,80.23
14.96,56.09,1468.35,26.32,744.98,78.14
14.7,55.19,1418.71,27.42,750.51,76.52
15.05,56.75,1467.1,27.04,734.97,79.55
16.82,60.75,1060.2,21.08,728.01,70.89
15.77,62.08,1894.19,26.76,766.45,93.45
16.25,56.93,2004.16,22.79,710.72,87.79
15.5,61.59,1168.57,20.3,783.79,71.15
14.11,56.62,1139.43,24.2,777.19,67.16
14.28,61.01,1125.86,24.81,717.86,68.69
15.62,59.4,1673.46,24.87,769.89,83.68
16.18,61.42,1673.7,27.15,764.87,90.14
14.58,64.78,1833.37,22.95,719.43,84.22
16.13,64.42,1781.45,23.17,731.15,87.89
16.38,55.03,1453.15,20.48,741.7,74.92
15.29,63.83,1622.62,26.99,769.04,87.41
16.13,55.87,1665.47,25.7,764.36,85.88
15.19,64.61,1544.37,23.33,755.72,81.11
15.91,57.74,1457.36,27.06,779.4,84.7
16.26,58.76,1660.41,25.25,774.99,86.66
16.95,55.84,1542.61,24.71,762.14,83.76
15.1,56.25,1634.7,24.99,776.7,80.98
15.25,62.22,1624.64,26.37,734.58,85.4
14.46,64.18,1734.55,26.71,790.3,87.64
14.66,61.1,1623.81,22.88,761.55,78.76
16.08,61.94,1536.03,21.35,781.3,80.39
16.75,62.94,1697.41,21.6,755.13,86.24
15.13,57.49,1435.47,26.5,722.43,78.78
14.5,55.43,1265.55,28.56,754.35,74.98
14.82,55.06,979.66,24.13,737.36,65.6
15.37,58.46,1550.63,21.89,769.51,76.73
14.88,57.37,1597.81,27.65,748.97,83.08
14.77,55.68,1959.3,28.33,784.64,89.91
16.22,57.02,1365.42,28.9,766.43,83.47
13.91,56.36,1397.73,26.14,767.04,73.54
15.63,64.36,1199.0,28.72,721.36,82.5
16.32,56.25,1082.97,19.85,799.46,68.47
14.76,60.42,1769.39,20.84,784.37,79.34
15.77,60.95,1253.14,21.08,778.0,73.25
15.98,60.49,1626.03,26.9,733.39,87.1
15.91,56.19,1699.58,20.76,753.1,78.63
15.35,58.16,1482.98,24.91,714.94,78.27
14.98,55.45,1859.19,24.58,754.31,83.4
16.52,59.03,1451.63,23.16,714.15,79.22
16.37,56.63,1271.79,28.73,755.63,82.89
14.91,60.58,1876.87,22.02,766.71,83.0
14.3,61.91,1860.49,23.43,738.22,82.52
14.11,60.19,1150.53,27.96,750.42,73.48
14.27,59.5,1037.77,20.36,787.47,62.46
15.78,58.72,1102.15,26.63,711.45,74.75
14.19,63.4,1258.13,28.28,778.26,78.9
15.01,57.24,1959.89,29.41,717.23,91.56
16.3,62.54,1536.71,28.77,705.22,90.46
14.99,62.57,1366.35,23.23,717.24,74.59
16.36,59.33,1895.52,25.77,774.64,91.69
16.21,58.07,1449.52,20.65,738.7,75.99
14.67,59.72,1306.43,22.69,785.61,72.49
16.17,55.77,1960.64,20.91,753.3,84.03
16.2,55.25,1815.09,23.14,700.26,84.35
15.21,56.13,1862.15,28.79,771.25,89.98
14.58,56.79,1504.15,23.51,711.89,72.72
15.56,60.17,1788.27,25.41,779.52,88.08
16.8,63.6,1171.48,24.52,716.27,80.51
15.91,57.33,1596.27,24.61,734.81,81.65
14.48,64.18,1965.46,29.67,776.28,96.51
16.1,64.62,1291.13,23.03,795.11,80.53
15.2,64.44,1802.23,26.31,736.85,90.01
15.76,63.27,1466.41,24.31,786.07,83.88
16.2,58.5,1026.06,20.69,720.21,67.71
15.55,55.71,1760.81,25.0,784.19,84.55
16.45,60.86,1155.32,28.33,765.05,82.55
16.19,60.59,1619.29,21.12,719.16,80.37
15.84,63.44,1080.44,20.67,728.38,70.11
14.44,64.74,1956.57,21.37,712.04,83.7
16.49,60.16,1286.6,27.89,740.96,83.16
16.78,58.34,1242.57,27.2,719.63,81.16
14.45,56.88,1114.23,25.58,767.09,69.45
15.44,55.0,1927.3,24.42,797.71,86.98
14.81,60.21,1740.68,28.93,699.72,86.33
16.26,60.53,1731.83,27.69,753.61,92.06
16.14,63.24,1479.82,27.89,757.28,89.55
14.45,60.12,1448.7,28.2,792.71,82.33
